readerID,caseID,modalityID,score
reader01,3240,FFDM,91
reader01,3385,FFDM,80
reader01,3457,FFDM,80
reader01,3795,FFDM,90
reader01,3828,FFDM,70
reader01,3834,FFDM,50
reader01,3915,FFDM,86
reader01,4265,FFDM,80
reader01,4327,FFDM,70
reader01,4746,FFDM,41
reader01,5135,FFDM,70
reader01,5281,FFDM,80
reader01,5545,FFDM,82
reader01,5589,FFDM,60
reader01,6259,FFDM,71
reader01,6276,FFDM,80
reader01,6339,FFDM,80
reader01,6368,FFDM,80
reader01,10742,FFDM,112
reader01,10743,FFDM,90
reader01,11848,FFDM,162
reader01,11867,FFDM,117
reader01,18299,FFDM,176
reader01,19138,FFDM,112
reader01,19256,FFDM,121
reader01,19625,FFDM,80
reader01,19697,FFDM,41
reader01,24493,FFDM,70
reader01,24510,FFDM,117
reader01,25460,FFDM,118
reader01,25819,FFDM,80
reader01,25994,FFDM,81
reader01,26022,FFDM,56
reader01,26037,FFDM,80
reader01,26168,FFDM,131
reader01,26363,FFDM,61
reader01,26600,FFDM,81
reader01,26720,FFDM,50
reader01,26835,FFDM,76
reader01,26956,FFDM,111
reader01,27365,FFDM,70
reader01,27382,FFDM,80
reader01,27573,FFDM,132
reader01,27813,FFDM,94
reader01,3240,SFM,116
reader01,3385,SFM,97
reader01,3457,SFM,82
reader01,3795,SFM,112
reader01,3828,SFM,69
reader01,3834,SFM,84
reader01,3915,SFM,93
reader01,4265,SFM,83
reader01,4327,SFM,47
reader01,4746,SFM,70
reader01,5135,SFM,118
reader01,5281,SFM,91
reader01,5545,SFM,94
reader01,5589,SFM,78
reader01,6259,SFM,81
reader01,6276,SFM,86
reader01,6339,SFM,113
reader01,6368,SFM,85
reader01,10742,SFM,79
reader01,10743,SFM,94
reader01,11848,SFM,153
reader01,11867,SFM,118
reader01,18299,SFM,176
reader01,19138,SFM,121
reader01,19256,SFM,137
reader01,19625,SFM,78
reader01,19697,SFM,109
reader01,24493,SFM,116
reader01,24510,SFM,37
reader01,25460,SFM,86
reader01,25819,SFM,177
reader01,25994,SFM,110
reader01,26022,SFM,142
reader01,26037,SFM,113
reader01,26168,SFM,81
reader01,26363,SFM,70
reader01,26600,SFM,81
reader01,26720,SFM,79
reader01,26835,SFM,80
reader01,26956,SFM,119
reader01,27365,SFM,74
reader01,27382,SFM,94
reader01,27573,SFM,121
reader01,27813,SFM,95
reader01,6559,FFDM,81
reader01,6755,FFDM,81
reader01,6932,FFDM,80
reader01,7320,FFDM,109
reader01,7343,FFDM,80
